feature_subset,pipeline,seed,n_features,distinct_train_vectors,runtime_sec,n_clusters,noise_ratio,ari,nmi,ami,macro_f1,silhouette,davies_bouldin,calinski_harabasz,selected_k,val_silhouette,selected_n_neighbors,selected_min_cluster_size,selected_min_samples,umap_fallback_ratio,selected_latent_dim
F2,A1,43,5,82,4.66,10,0.0,0.34526523856125696,0.5048697378953231,0.5001144696361708,0.5844621194127357,0.7662825843669818,0.537307909032799,2336.909969255113,10.0,0.7685601357020522,,,,0.0,
F2,A1,44,5,82,3.42,10,0.0,0.3468799790615439,0.5132570885719887,0.5086400347033149,0.5844621194127357,0.768249613762501,0.46369248508175226,2358.713264601352,10.0,0.7669330030499055,,,,0.0,
F2,A2,42,5,82,149.78,12,0.36177777777777775,0.06588608547562003,0.23540822818447607,0.22649725892884479,0.2926868652185296,0.3903464674949646,1.0956482501622509,192.31482908323125,,0.3718310594558716,15.0,100.0,25.0,0.0,
F2,A2,43,5,82,148.87,20,0.3128888888888889,0.0727821905656906,0.2570546291643711,0.24390190743812853,0.22414837295741244,0.5443614721298218,0.8839612234062276,250.13804466687589,,0.51109379529953,15.0,100.0,25.0,0.0,
F2,A2,44,5,82,131.36,17,0.21333333333333335,0.11837042056414102,0.3073522666148719,0.2970614489876723,0.35053591235540377,0.5253397822380066,0.9730874833333443,265.0909554578954,,0.5070704817771912,15.0,100.0,25.0,0.0,
F2,A3,42,5,82,6.78,10,0.0,0.33715152169459484,0.4872209414049262,0.4826097429774335,0.5697219482515432,0.8598980903625488,0.4012674006169294,7918.601129895984,10.0,0.8536996841430664,,,,0.0,2.0
F2,A3,43,5,82,5.39,10,0.0,0.3381898460344663,0.4877701418105047,0.4831281238999588,0.5697219482515432,0.8619865775108337,0.4140621103584241,6933.539039788852,10.0,0.8568154573440552,,,,0.0,2.0
F2,A3,44,5,82,5.3,10,0.0,0.33804251437215355,0.48703621598427704,0.482430706401745,0.5718774792977692,0.8336312770843506,0.521149683063338,4685.06368657411,10.0,0.8298396468162537,,,,0.0,4.0
F3,A1,42,4,91,2.18,10,0.0,0.32596346520489516,0.5287555440659903,0.5242596401170695,0.4903506574665285,0.7540848594841302,0.6765599928161394,2812.7822030171797,10.0,0.7555877790278719,,,,0.0,
F3,A1,43,4,91,1.97,10,0.0,0.3237749271247622,0.5186938261712246,0.5141603956523809,0.4980430778936104,0.7680417942551273,0.6724687621419605,2998.294130709811,10.0,0.7607077764113662,,,,0.0,
F3,A1,44,4,91,1.01,10,0.0,0.32937264826434315,0.5329555729485419,0.528449891675178,0.4916043448264852,0.7564132177175501,0.6865712450306375,2842.9288389647136,10.0,0.7579822503045333,,,,0.0,
F3,A2,42,4,91,145.89,2,0.31022222222222223,0.17570239148147684,0.2657110940363983,0.263645287964137,0.16942020399340302,0.3340267837047577,0.8717371948173215,309.6294024853804,,0.3577994406223297,50.0,250.0,25.0,0.0,
F3,A2,43,4,91,145.19,5,0.14666666666666667,0.21071004556834555,0.2706513629382355,0.26648311714347733,0.2930092403232783,0.3682088851928711,0.9866815688852009,291.1665931957259,,0.39745160937309265,50.0,250.0,25.0,0.0,
F3,A2,44,4,91,136.22,18,0.39644444444444443,0.05053103552736844,0.22464485280665347,0.21139152926020088,0.2488156095413146,0.5002399682998657,0.8974947907820998,295.39469743988064,,0.4912276864051819,15.0,100.0,25.0,0.0,
F3,A3,42,4,91,5.17,8,0.0,0.3462082795375744,0.5477744348581454,0.5443440702597756,0.5175961663040585,0.8092259168624878,0.607809915842438,11079.734804922702,8.0,0.8116512298583984,,,,0.0,2.0
F3,A3,43,4,91,5.31,7,0.0,0.34513525002202694,0.54383256997929,0.5408222542996877,0.507885584475205,0.8155081868171692,0.5099316894514482,14197.993573687829,7.0,0.8122295141220093,,,,0.0,4.0
F3,A3,44,4,91,5.11,7,0.0,0.34130437485911186,0.5353322020634769,0.5322690667526896,0.5078600001125049,0.8226301074028015,0.5063721068216044,14854.17348408851,7.0,0.8255897164344788,,,,0.0,4.0
F4,A1,42,5,22,0.87,10,0.0,0.44949744406981956,0.5812469312533233,0.5769228964846572,0.41335620810387497,0.9654534118105053,0.22287755188390346,13965.637290897552,10.0,0.9565939208059054,,,,0.0,
F4,A1,43,5,22,3.26,10,0.0,0.44949744406981956,0.5812469312533234,0.5769228964846572,0.41335620810387497,0.9654534118105053,0.22287755188390346,13965.637290897555,10.0,0.9565939208059054,,,,0.0,
F4,A1,44,5,22,0.61,10,0.0,0.44949744406981956,0.5812469312533234,0.5769228964846572,0.41335620810387497,0.9654534118105053,0.22287755188390346,13965.637290897552,10.0,0.9565939208059054,,,,0.0,
F4,A2,42,5,22,161.27,7,0.384,0.10981888415506302,0.25872698635490327,0.2532824875408251,0.3202648099880132,0.5338268876075745,1.056998695501388,354.204254373689,,0.5379396677017212,50.0,250.0,25.0,0.0,
